participant_id	score_rater1	score_rater2	trial_type
sub-pp033	20.0	20.0	1_ga_n
sub-pp033	20.0	20	1_ga_n_1
sub-pp033	20.0	20.0	1_ga_n_2
sub-pp033	20.0	20.0	1_gaza_n
sub-pp033	20.0	20	1_gaza_n_1
sub-pp033	20.0	20.0	1_gaza_n_2
sub-pp033	14.0	19.0	1_gha_nn
sub-pp033	14.0	19.0	1_gha_nn_1
sub-pp033	14.0	20.0	1_gha_nn_2
sub-pp033	16.0	20.0	1_ghaza_nn
sub-pp033	16.0	20.0	1_ghaza_nn 
sub-pp033	14.0	14.0	1_ghaza_nn_1
sub-pp033	11.0	14.0	2_gho_nn
sub-pp033	11.0	12	2_gho_nn_1
sub-pp033	12.0	12.0	2_gho_nn_2
sub-pp033	12.0	19.0	2_ghormeh_nn
sub-pp033	10.0	12.0	2_ghormeh_nn_1
sub-pp033	10.0	12.0	2_ghormeh_nn_2
sub-pp033	20.0	20.0	2_go_n
sub-pp033	20.0	20.0	2_go_n_1
sub-pp033	20.0	20.0	2_go_n_2
sub-pp033	20.0	20.0	2_gormeh_n
sub-pp033	20.0	20.0	2_gormeh_n_1
sub-pp033	20.0	20.0	2_gormeh_n_2
sub-pp033	n/a	n/a	3_ge_n
sub-pp033	n/a	n/a	3_ge_n_1
sub-pp033	n/a	n/a	3_ge_n_2
sub-pp033	20.0	20.0	3_gesseh_n
sub-pp033	20.0	20.0	3_gesseh_n_1
sub-pp033	20.0	20.0	3_gesseh_n_2
sub-pp033	n/a	n/a	3_ghe_nn
sub-pp033	n/a	n/a	3_ghe_nn_1
sub-pp033	n/a	n/a	3_ghe_nn_2
sub-pp033	3.0	9	3_ghesseh_nn
sub-pp033	4.0	9	3_ghesseh_nn_1
sub-pp033	10.0	12	3_ghesseh_nn_2
sub-pp033	10.0	12.0	4_ghi_nn
sub-pp033	13.0	16.0	4_ghi_nn_1
sub-pp033	11.0	16.0	4_ghi_nn_2
sub-pp033	12.0	19.0	4_ghisseh_nn
sub-pp033	10.0	12	4_ghisseh_nn_1
sub-pp033	13.0	19.0	4_ghisseh_nn_2
sub-pp033	20.0	20.0	4_gi_n
sub-pp033	20.0	20.0	4_gi_n_1
sub-pp033	20.0	20.0	4_gi_n_2
sub-pp033	20.0	20.0	4_gisseh_n
sub-pp033	20.0	20.0	4_gisseh_n_1
sub-pp033	20.0	20.0	4_gisseh_n_2
sub-pp033	13.0	19.0	5_ghoo_nn
sub-pp033	13.0	19.0	5_ghoo_nn_1
sub-pp033	8.0	5.0	5_ghoo_nn_2
sub-pp033	9.0	9.0	5_ghoo_nn_3
sub-pp033	11.0	14.0	5_ghooloom_nn
sub-pp033	12.0	9	5_ghooloom_nn_1
sub-pp033	5.0	9.0	5_ghooloom_nn_2
sub-pp033	3.0	5.0	5_ghooloom_nn_3
sub-pp033	20.0	20.0	5_goo_n
sub-pp033	20.0	20.0	5_goo_n_1
sub-pp033	20.0	20.0	5_goo_n_2
sub-pp033	20.0	20.0	5_gooloom_n
sub-pp033	20.0	20.0	5_gooloom_n_1
sub-pp033	20.0	20.0	5_gooloom_n_2
sub-pp033	20.0	20.0	5_gooloom_n_3
sub-pp033	20.0	20.0	6_ga_n
sub-pp033	20.0	20.0	6_ga_n_1
sub-pp033	20.0	20	6_ga_n_2
sub-pp033	20.0	20.0	6_gali_n
sub-pp033	20.0	20.0	6_gali_n_1
sub-pp033	20.0	20	6_gali_n_2
sub-pp033	11.0	20.0	6_gha_nn
sub-pp033	11.0	20.0	6_gha_nn_1
sub-pp033	13.0	20.0	6_gha_nn_2
sub-pp033	13.0	16.0	6_ghali_nn
sub-pp033	14.0	20.0	6_ghali_nn_1
sub-pp033	14.0	19	6_ghali_nn_2
